[2026-02-19 19:56:28] SERVER: avvio in corso
[2026-02-19 19:56:28] SERVER: in ascolto sulla porta 8080
[2026-02-19 19:56:28] SERVER: nuova partita pronta, in attesa di giocatori
[2026-02-19 19:57:20] [fauu@127.0.0.1] BLUR: mappa sfocata inviata
[2026-02-19 19:57:23] [fauu@127.0.0.1] MOVE: 'W' (pos: 7,33)
[2026-02-19 19:57:23] [fauu@127.0.0.1] MOVE: nuova pos (6,33)
[2026-02-19 19:57:23] [fauu@127.0.0.1] MOVE: 'W' (pos: 6,33)
[2026-02-19 19:57:23] [fauu@127.0.0.1] MOVE: nuova pos (5,33)
[2026-02-19 19:57:24] [fauu@127.0.0.1] MOVE: 'D' (pos: 5,33)
[2026-02-19 19:57:24] [fauu@127.0.0.1] MOVE: nuova pos (5,34)
[2026-02-19 19:57:24] [fauu@127.0.0.1] MOVE: 'A' (pos: 5,34)
[2026-02-19 19:57:24] [fauu@127.0.0.1] MOVE: nuova pos (5,33)
[2026-02-19 19:57:25] [fauu@127.0.0.1] MOVE: 'W' (pos: 5,33)
[2026-02-19 19:57:25] [fauu@127.0.0.1] MOVE: nuova pos (4,33)
[2026-02-19 19:57:25] [fauu@127.0.0.1] MOVE: 'W' (pos: 4,33)
[2026-02-19 19:57:25] [fauu@127.0.0.1] MOVE: nuova pos (3,33)
[2026-02-19 19:57:25] [fauu@127.0.0.1] MOVE: 'W' (pos: 3,33)
[2026-02-19 19:57:25] [fauu@127.0.0.1] MOVE: bloccato dal muro
[2026-02-19 19:57:26] [fauu@127.0.0.1] MOVE: 'S' (pos: 3,33)
[2026-02-19 19:57:26] [fauu@127.0.0.1] MOVE: nuova pos (4,33)
[2026-02-19 19:57:26] [fauu@127.0.0.1] MOVE: 'S' (pos: 4,33)
[2026-02-19 19:57:26] [fauu@127.0.0.1] MOVE: nuova pos (5,33)
[2026-02-19 19:57:26] [fauu@127.0.0.1] MOVE: 'S' (pos: 5,33)
[2026-02-19 19:57:26] [fauu@127.0.0.1] MOVE: nuova pos (6,33)
[2026-02-19 19:57:27] [fauu@127.0.0.1] MOVE: 'S' (pos: 6,33)
[2026-02-19 19:57:27] [fauu@127.0.0.1] MOVE: nuova pos (7,33)
[2026-02-19 19:57:27] [fauu@127.0.0.1] MOVE: 'S' (pos: 7,33)
[2026-02-19 19:57:27] [fauu@127.0.0.1] MOVE: nuova pos (8,33)
[2026-02-19 19:57:27] [fauu@127.0.0.1] MOVE: 'S' (pos: 8,33)
[2026-02-19 19:57:27] [fauu@127.0.0.1] MOVE: nuova pos (9,33)
[2026-02-19 19:57:28] [fauu@127.0.0.1] MOVE: 'S' (pos: 9,33)
[2026-02-19 19:57:28] [fauu@127.0.0.1] MOVE: nuova pos (10,33)
[2026-02-19 19:57:28] [fauu@127.0.0.1] MOVE: 'S' (pos: 10,33)
[2026-02-19 19:57:28] [fauu@127.0.0.1] MOVE: nuova pos (11,33)
[2026-02-19 19:57:28] [fauu@127.0.0.1] MOVE: 'S' (pos: 11,33)
[2026-02-19 19:57:28] [fauu@127.0.0.1] MOVE: bloccato dal muro
[2026-02-19 19:57:29] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,33)
[2026-02-19 19:57:29] [fauu@127.0.0.1] MOVE: nuova pos (11,34)
[2026-02-19 19:57:29] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,34)
[2026-02-19 19:57:29] [fauu@127.0.0.1] MOVE: nuova pos (11,35)
[2026-02-19 19:57:30] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,35)
[2026-02-19 19:57:30] [fauu@127.0.0.1] MOVE: nuova pos (11,36)
[2026-02-19 19:57:30] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,36)
[2026-02-19 19:57:30] [fauu@127.0.0.1] MOVE: nuova pos (11,37)
[2026-02-19 19:57:30] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,37)
[2026-02-19 19:57:30] [fauu@127.0.0.1] MOVE: bloccato dal muro
[2026-02-19 19:57:31] [fauu@127.0.0.1] MOVE: 'A' (pos: 11,37)
[2026-02-19 19:57:31] [fauu@127.0.0.1] MOVE: nuova pos (11,36)
[2026-02-19 19:57:31] [fauu@127.0.0.1] MOVE: 'A' (pos: 11,36)
[2026-02-19 19:57:31] [fauu@127.0.0.1] MOVE: nuova pos (11,35)
[2026-02-19 19:57:31] [fauu@127.0.0.1] MOVE: 'A' (pos: 11,35)
[2026-02-19 19:57:31] [fauu@127.0.0.1] MOVE: nuova pos (11,34)
[2026-02-19 19:57:32] [fauu@127.0.0.1] MOVE: 'A' (pos: 11,34)
[2026-02-19 19:57:32] [fauu@127.0.0.1] MOVE: nuova pos (11,33)
[2026-02-19 19:57:32] [fauu@127.0.0.1] MOVE: 'A' (pos: 11,33)
[2026-02-19 19:57:32] [fauu@127.0.0.1] MOVE: bloccato dal muro
[2026-02-19 19:57:33] [fauu@127.0.0.1] MOVE: 'W' (pos: 11,33)
[2026-02-19 19:57:33] [fauu@127.0.0.1] MOVE: nuova pos (10,33)
[2026-02-19 19:57:33] [fauu@127.0.0.1] MOVE: 'W' (pos: 10,33)
[2026-02-19 19:57:33] [fauu@127.0.0.1] MOVE: nuova pos (9,33)
[2026-02-19 19:57:33] [fauu@127.0.0.1] MOVE: 'D' (pos: 9,33)
[2026-02-19 19:57:33] [fauu@127.0.0.1] MOVE: nuova pos (9,34)
[2026-02-19 19:57:33] [fauu@127.0.0.1] MOVE: 'D' (pos: 9,34)
